"time","h1","h2","h1_ss","h2_ss"
27,12.046362074268366,6.023181240617105,8,4
27.06,12.04636206859251,6.023181238710218,8,4
27.12,12.046362063180064,6.023181236857971,8,4
27.18,12.046362058031027,6.0231812350603615,8,4
27.24,12.046362053145401,6.023181233317391,8,4
27.3,12.046362048523186,6.02318123162906,8,4
27.36,12.046362044164379,6.023181229995368,8,4
27.42,12.046362040068983,6.023181228416314,8,4
27.48,12.046362036236998,6.023181226891899,8,4
27.54,12.046362032668421,6.023181225422124,8,4
27.6,12.046362029363255,6.023181224006986,8,4
27.66,12.046362026321498,6.023181222646488,8,4
27.72,12.046362025580958,6.023181221470582,8,4
27.78,12.04636202747835,6.023181220473442,8,4
27.84,12.046362029375745,6.023181219476303,8,4
27.9,12.046362031273137,6.023181218479164,8,4
27.96,12.04636203317053,6.0231812174820245,8,4
28.02,12.046362035067922,6.023181216484885,8,4
28.08,12.046362036965316,6.023181215487746,8,4
28.14,12.046362038862709,6.023181214490607,8,4
28.2,12.046362040760101,6.0231812134934675,8,4
28.26,12.046362042657496,6.023181212496328,8,4
28.32,12.046362044554888,6.023181211499189,8,4
28.38,12.04636204645228,6.023181210502049,8,4
28.44,12.046362048349675,6.0231812095049095,8,4
28.5,12.046362050247067,6.02318120850777,8,4
28.56,12.04636205214446,6.023181207510631,8,4
28.62,12.046362054041852,6.023181206513492,8,4
28.68,12.046362055939246,6.0231812055163525,8,4
28.74,12.046362057836639,6.023181204519213,8,4
28.8,12.046362059734031,6.023181203522074,8,4
28.86,12.046362061631426,6.023181202524935,8,4
28.92,12.046362063528818,6.023181201527795,8,4
28.98,12.04636206542621,6.023181200530655,8,4
29.04,12.046362067323603,6.023181199533516,8,4
29.1,12.046362069220997,6.023181198536377,8,4
29.16,12.04636207111839,6.0231811975392375,8,4
29.22,12.046362073015782,6.023181196542098,8,4
29.28,12.046362074913176,6.023181195544959,8,4
29.34,12.046362076810569,6.02318119454782,8,4
29.4,12.046362078707961,6.0231811935506805,8,4
29.46,12.046362080605354,6.023181192553541,8,4
29.52,12.046362082502748,6.023181191556401,8,4
29.58,12.04636208440014,6.023181190559262,8,4
29.64,12.046362086297533,6.023181189562123,8,4
29.7,12.046362088194927,6.023181188564983,8,4
29.76,12.04636209009232,6.023181187567844,8,4
29.82,12.046362091989712,6.023181186570705,8,4
29.88,12.046362093887105,6.0231811855735655,8,4
29.94,12.046362095784499,6.023181184576426,8,4
30,12.046362097681891,6.023181183579287,8,4
30,12.046362097681891,6.023181183579287,8,4
